Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
15-04-2021,AXISBANK,EQ,661,666.45,671.35,652.3,668.85,668.85,663.54,15195951,1.01E+15,211651,5118158,0.3368
16-04-2021,AXISBANK,EQ,668.85,668.65,675.25,662.35,667.8,669.2,668.26,12242522,8.18E+14,166076,4969774,0.4059
19-04-2021,AXISBANK,EQ,669.2,650,655.3,631,648,648.15,638.98,17292072,1.10E+15,296870,5725586,0.3311
20-04-2021,AXISBANK,EQ,648.15,656,662,643,651.7,651.75,654.29,12296248,8.05E+14,175625,4319429,0.3513
22-04-2021,AXISBANK,EQ,651.75,641,660.95,634.4,656.9,658.7,651.17,19385102,1.26E+15,261994,7082533,0.3654
23-04-2021,AXISBANK,EQ,658.7,656,677.5,650.9,664.95,671.35,669.53,19167768,1.28E+15,241268,4732512,0.2469
26-04-2021,AXISBANK,EQ,671.35,694,703.8,684.5,699.5,700.45,695.33,21646184,1.51E+15,286480,5949937,0.2749
27-04-2021,AXISBANK,EQ,700.45,691.1,703.9,684.1,700.9,699.55,692.83,46559967,3.23E+15,289445,18080082,0.3883
28-04-2021,AXISBANK,EQ,699.55,708,712.5,688.15,705.95,708.15,701.92,54060587,3.79E+15,507747,17851331,0.3302
29-04-2021,AXISBANK,EQ,708.15,712,726.9,707,717.1,719.4,717.41,25939327,1.86E+15,312079,7357520,0.2836
30-04-2021,AXISBANK,EQ,719.4,705,729.85,705,711.65,714.9,719.36,23011654,1.66E+15,232879,6786072,0.2949
